agent,ici_class,phenotype_family,openfda_total_agent_reports,agent_family_reports,all_database_family_reports,all_database_reports,reporting_odds_ratio,ror_ci_low,ror_ci_high,drug_query,reaction_query,interpretation_role,claim_boundary
cemiplimab,PD-1,nephritis,3127,39,133893,20328575,1.929,1.41,2.641,"(patient.drug.medicinalproduct.exact:""CEMIPLIMAB"" OR patient.drug.medicinalproduct.exact:""LIBTAYO"")","(patient.reaction.reactionmeddrapt.exact:""NEPHRITIS"" OR patient.reaction.reactionmeddrapt.exact:""RENAL FAILURE"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
cemiplimab,PD-1,cardiac,3127,75,26440,20328575,19.04,15.15,23.94,"(patient.drug.medicinalproduct.exact:""CEMIPLIMAB"" OR patient.drug.medicinalproduct.exact:""LIBTAYO"")","(patient.reaction.reactionmeddrapt.exact:""MYOCARDITIS"" OR patient.reaction.reactionmeddrapt.exact:""PERICARDITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
cemiplimab,PD-1,skin,3127,183,725597,20328575,1.684,1.451,1.955,"(patient.drug.medicinalproduct.exact:""CEMIPLIMAB"" OR patient.drug.medicinalproduct.exact:""LIBTAYO"")","(patient.reaction.reactionmeddrapt.exact:""DERMATITIS"" OR patient.reaction.reactionmeddrapt.exact:""PRURITUS"" OR patient.reaction.reactionmeddrapt.exact:""RASH"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
cemiplimab,PD-1,neuromuscular,3127,72,20425,20328575,23.67,18.75,29.89,"(patient.drug.medicinalproduct.exact:""CEMIPLIMAB"" OR patient.drug.medicinalproduct.exact:""LIBTAYO"")","(patient.reaction.reactionmeddrapt.exact:""GUILLAIN-BARRE SYNDROME"" OR patient.reaction.reactionmeddrapt.exact:""MYASTHENIA GRAVIS"" OR patient.reaction.reactionmeddrapt.exact:""MYOSITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
dostarlimab,PD-1,pneumonitis,2013,49,72123,20328575,7.081,5.34,9.389,"(patient.drug.medicinalproduct.exact:""DOSTARLIMAB"" OR patient.drug.medicinalproduct.exact:""JEMPERLI"")","(patient.reaction.reactionmeddrapt.exact:""INTERSTITIAL LUNG DISEASE"" OR patient.reaction.reactionmeddrapt.exact:""PNEUMONITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
dostarlimab,PD-1,colitis,2013,105,655379,20328575,1.659,1.364,2.019,"(patient.drug.medicinalproduct.exact:""DOSTARLIMAB"" OR patient.drug.medicinalproduct.exact:""JEMPERLI"")","(patient.reaction.reactionmeddrapt.exact:""COLITIS"" OR patient.reaction.reactionmeddrapt.exact:""DIARRHOEA"" OR patient.reaction.reactionmeddrapt.exact:""ENTEROCOLITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
dostarlimab,PD-1,hepatitis,2013,49,112185,20328575,4.542,3.426,6.023,"(patient.drug.medicinalproduct.exact:""DOSTARLIMAB"" OR patient.drug.medicinalproduct.exact:""JEMPERLI"")","(patient.reaction.reactionmeddrapt.exact:""ALANINE AMINOTRANSFERASE INCREASED"" OR patient.reaction.reactionmeddrapt.exact:""ASPARTATE AMINOTRANSFERASE INCREASED"" OR patient.reaction.reactionmeddrapt.exact:""HEPATITIS"" OR patient.reaction.reactionmeddrapt.exact:""TRANSAMINASES INCREASED"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
dostarlimab,PD-1,endocrine,2013,109,57293,20328575,20.38,16.81,24.71,"(patient.drug.medicinalproduct.exact:""DOSTARLIMAB"" OR patient.drug.medicinalproduct.exact:""JEMPERLI"")","(patient.reaction.reactionmeddrapt.exact:""ADRENAL INSUFFICIENCY"" OR patient.reaction.reactionmeddrapt.exact:""HYPERTHYROIDISM"" OR patient.reaction.reactionmeddrapt.exact:""HYPOPHYSITIS"" OR patient.reaction.reactionmeddrapt.exact:""HYPOTHYROIDISM"" OR patient.reaction.reactionmeddrapt.exact:""THYROIDITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
dostarlimab,PD-1,nephritis,2013,25,133893,20328575,1.934,1.309,2.859,"(patient.drug.medicinalproduct.exact:""DOSTARLIMAB"" OR patient.drug.medicinalproduct.exact:""JEMPERLI"")","(patient.reaction.reactionmeddrapt.exact:""NEPHRITIS"" OR patient.reaction.reactionmeddrapt.exact:""RENAL FAILURE"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
dostarlimab,PD-1,cardiac,2013,38,26440,20328575,14.98,10.89,20.62,"(patient.drug.medicinalproduct.exact:""DOSTARLIMAB"" OR patient.drug.medicinalproduct.exact:""JEMPERLI"")","(patient.reaction.reactionmeddrapt.exact:""MYOCARDITIS"" OR patient.reaction.reactionmeddrapt.exact:""PERICARDITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
